timestamp_ms,q_cmd_rad,q_actual_rad,q_error_rad,vel_rad_s,tau_feedback_Nm,contact_tau,contact_pos,label
6194,3.36366,4.04116,-0.67750,-3.27472,-0.12943,0,1,hard
6199,3.36366,4.02514,-0.66148,-3.14286,-0.11477,0,1,hard
6204,3.36366,4.00950,-0.64584,-3.11355,-0.12454,0,1,hard
6209,3.36366,3.99386,-0.63020,-3.04029,-0.12943,0,1,hard
6214,3.36366,3.97898,-0.61532,-2.87912,-0.12454,0,1,hard
6219,3.36366,3.96449,-0.60083,-2.90842,-0.12943,0,1,hard
6224,3.36366,3.94999,-0.58633,-2.80586,-0.12943,0,1,hard
6229,3.36366,3.93625,-0.57259,-2.67399,-0.11966,0,1,hard
6234,3.36366,3.92290,-0.55924,-2.65934,-0.12454,0,1,hard
6240,3.36366,3.90955,-0.54589,-2.67399,-0.13431,0,1,hard
6245,3.36366,3.89658,-0.53292,-2.48352,-0.11966,0,1,hard
6250,3.36366,3.88437,-0.52071,-2.45421,-0.12454,0,1,hard
6255,3.36366,3.87179,-0.50813,-2.41026,-0.13919,0,1,hard
6260,3.36366,3.85958,-0.49592,-2.36630,-0.12943,0,1,hard
6265,3.36366,3.84851,-0.48485,-2.21978,-0.11966,0,1,hard
6270,3.36366,3.83707,-0.47341,-2.27839,-0.12943,0,1,hard
6275,3.36366,3.82563,-0.46197,-2.17582,-0.13431,0,1,hard
6280,3.36366,3.81495,-0.45129,-2.13187,-0.13431,0,1,hard
6285,3.36366,3.80465,-0.44099,-2.02930,-0.12943,0,1,hard
6290,3.36366,3.79435,-0.43069,-2.01465,-0.12943,0,1,hard
6295,3.36366,3.78405,-0.42039,-2.02930,-0.12454,0,1,hard
6300,3.36366,3.77451,-0.41085,-1.88278,-0.12943,0,1,hard
6305,3.36366,3.76497,-0.40131,-1.82417,-0.13431,0,1,hard
6310,3.36366,3.75582,-0.39216,-1.83883,-0.12943,0,1,hard
6315,3.36366,3.74666,-0.38300,-1.79487,-0.13431,0,1,hard
6320,3.36366,3.73751,-0.37385,-1.79487,-0.12943,0,1,hard
6325,3.36366,3.72873,-0.36507,-1.73626,-0.12454,0,1,hard
6331,3.36366,3.72072,-0.35706,-1.54579,-0.13431,0,1,hard
6336,3.36366,3.71271,-0.34905,-1.58974,-0.14408,0,1,hard
6341,3.36366,3.70432,-0.34066,-1.66300,-0.12454,0,1,hard
6346,3.36366,3.69669,-0.33303,-1.51648,-0.12454,0,1,hard
6351,3.36366,3.68906,-0.32540,-1.50183,-0.14408,0,1,hard
6356,3.36366,3.68143,-0.31777,-1.48718,-0.12943,0,1,hard
6361,3.36366,3.67456,-0.31090,-1.32601,-0.13919,0,1,hard
6366,3.36366,3.66770,-0.30404,-1.31136,-0.15385,0,1,hard
6371,3.36366,3.66045,-0.29679,-1.45788,-0.12943,0,1,hard
6376,3.36366,3.65358,-0.28992,-1.35531,-0.11477,0,1,hard
6381,3.36366,3.64748,-0.28382,-1.20879,-0.13919,0,1,hard
6386,3.36366,3.64137,-0.27771,-1.19414,-0.17338,0,1,hard
6391,3.36366,3.63489,-0.27123,-1.26740,-0.15385,0,1,hard
6396,3.36366,3.62917,-0.26551,-1.15018,-0.14408,0,1,hard
6401,3.36366,3.62306,-0.25940,-1.15018,-0.13919,0,1,hard
6406,3.36366,3.61734,-0.25368,-1.13553,-0.14408,0,1,hard
6411,3.36366,3.61162,-0.24796,-1.13553,-0.13431,0,1,hard
6416,3.36366,3.60590,-0.24224,-1.13553,-0.12943,0,1,hard
6422,3.36366,3.60056,-0.23690,-1.01831,-0.13431,0,1,hard
6427,3.36366,3.59560,-0.23194,-0.98901,-0.15873,0,1,hard
6432,3.36366,3.59140,-0.22774,-0.93040,-0.17827,0,1,hard
6437,3.36366,3.58644,-0.22278,-0.93040,-0.17827,0,1,hard
6442,3.36366,3.58110,-0.21744,-1.03297,-0.14408,0,1,hard
6447,3.36366,3.57614,-0.21248,-0.97436,-0.12943,0,1,hard
6452,3.36366,3.57157,-0.20791,-0.91575,-0.11966,0,1,hard
6457,3.36366,3.56737,-0.20371,-0.79853,-0.15385,0,1,hard
6462,3.36366,3.56355,-0.19989,-0.78388,-0.17338,0,1,hard
6467,3.36366,3.55898,-0.19532,-0.91575,-0.16361,0,1,hard
6472,3.36366,3.55440,-0.19074,-0.91575,-0.12943,0,1,hard
6477,3.36366,3.55058,-0.18692,-0.75458,-0.13431,0,1,hard
6482,3.36366,3.54677,-0.18311,-0.71062,-0.15873,0,1,hard
6487,3.36366,3.54372,-0.18006,-0.62271,-0.19292,0,1,hard
6492,3.36366,3.54066,-0.17700,-0.63736,-0.21734,0,1,hard
6497,3.36366,3.53685,-0.17319,-0.72528,-0.19780,0,1,hard
6502,3.36366,3.53265,-0.16899,-0.81319,-0.14896,0,1,hard
6508,3.36366,3.52846,-0.16480,-0.79853,-0.10501,0,1,hard
6513,3.36366,3.52502,-0.16136,-0.65201,-0.10501,0,1,hard
6518,3.36366,3.52235,-0.15869,-0.56410,-0.14408,0,1,hard
6523,3.36366,3.51968,-0.15602,-0.54945,-0.17827,0,1,hard
6528,3.36366,3.51663,-0.15297,-0.56410,-0.20269,0,1,hard
6533,3.36366,3.51396,-0.15030,-0.59341,-0.20269,0,1,hard
6538,3.36366,3.51053,-0.14687,-0.63736,-0.17827,0,1,hard
6543,3.36366,3.50710,-0.14344,-0.65201,-0.14896,0,1,hard
6548,3.36366,3.50404,-0.14038,-0.59341,-0.12454,0,1,hard
6553,3.36366,3.50175,-0.13809,-0.46154,-0.14896,0,1,hard
6558,3.36366,3.49985,-0.13619,-0.40293,-0.19292,0,1,hard
6563,3.36366,3.49756,-0.13390,-0.46154,-0.20269,0,1,hard
6568,3.36366,3.49451,-0.13085,-0.56410,-0.18315,0,1,hard
6573,3.36366,3.49222,-0.12856,-0.44689,-0.17338,0,1,hard
6578,3.36366,3.48993,-0.12627,-0.44689,-0.17338,0,1,hard
6583,3.36366,3.48764,-0.12398,-0.53480,-0.16850,0,1,hard
6588,3.36366,3.48497,-0.12131,-0.47619,-0.15385,0,1,hard
6593,3.36366,3.48230,-0.11864,-0.53480,-0.12454,0,1,hard
6599,3.36366,3.47963,-0.11597,-0.54945,-0.10501,0,1,hard
6604,3.36366,3.47734,-0.11368,-0.38828,-0.11966,0,1,hard
6609,3.36366,3.47581,-0.11215,-0.32967,-0.15873,0,1,hard
6614,3.36366,3.47429,-0.11063,-0.37363,-0.18803,0,1,hard
6619,3.36366,3.47238,-0.10872,-0.41758,-0.18315,0,1,hard
6624,3.36366,3.47047,-0.10681,-0.35897,-0.17827,0,1,hard
6629,3.36366,3.46857,-0.10491,-0.37363,-0.17827,0,1,hard
6634,3.36366,3.46704,-0.10338,-0.31502,-0.18315,0,1,hard
6639,3.36366,3.46513,-0.10147,-0.35897,-0.18803,0,1,hard
6644,3.36366,3.46437,-0.10071,-0.18315,-0.21734,0,1,hard
6649,3.36366,3.46246,-0.09880,-0.34432,-0.21734,0,1,hard
6654,3.36366,3.46094,-0.09728,-0.34432,-0.19780,0,1,hard
6659,3.36366,3.45903,-0.09537,-0.32967,-0.17827,0,1,hard
6664,3.36366,3.45750,-0.09384,-0.35897,-0.16361,0,1,hard
6669,3.36366,3.45598,-0.09232,-0.22711,-0.17338,0,1,hard
6674,3.36366,3.45445,-0.09079,-0.38828,-0.16361,0,1,hard
6679,3.36366,3.45293,-0.08927,-0.30037,-0.14896,0,1,hard
6684,3.36366,3.45102,-0.08736,-0.34432,-0.13919,0,1,hard
6690,3.36366,3.45026,-0.08660,-0.21245,-0.15873,0,1,hard
6695,3.36366,3.44949,-0.08583,-0.12454,-0.20757,0,1,hard
6700,3.36366,3.44797,-0.08431,-0.28572,-0.20757,0,1,hard
6705,3.36366,3.44606,-0.08240,-0.34432,-0.15873,0,1,hard
6710,3.36366,3.44453,-0.08087,-0.30037,-0.13431,0,1,hard
6715,3.36366,3.44301,-0.07935,-0.30037,-0.12454,0,1,hard
6720,3.36366,3.44224,-0.07858,-0.10989,-0.16361,0,1,hard
6725,3.36366,3.44186,-0.07820,-0.15385,-0.19780,0,1,hard
6730,3.36366,3.44034,-0.07668,-0.31502,-0.17827,0,1,hard
6735,3.36366,3.43919,-0.07553,-0.24176,-0.16850,0,1,hard
6740,3.36366,3.43843,-0.07477,-0.12454,-0.18315,0,1,hard
6745,3.36366,3.43729,-0.07363,-0.22711,-0.18315,0,1,hard
6750,3.36366,3.43576,-0.07210,-0.30037,-0.16361,0,1,hard
6755,3.36366,3.43538,-0.07172,-0.06593,-0.18803,0,1,hard
6760,3.36366,3.43538,-0.07172,-0.03663,-0.23687,0,1,hard
6765,3.36366,3.43500,-0.07134,-0.10989,-0.26129,0,1,hard
6770,3.36366,3.43423,-0.07057,-0.16850,-0.23687,0,1,hard
6775,3.36366,3.43271,-0.06905,-0.30037,-0.18803,0,1,hard
6780,3.36366,3.43118,-0.06752,-0.22711,-0.15385,0,1,hard
6786,3.36366,3.43042,-0.06676,-0.15385,-0.15385,0,1,hard
6791,3.36366,3.42889,-0.06523,-0.31502,-0.13431,0,1,hard
6796,3.36366,3.42775,-0.06409,-0.22711,-0.11966,0,1,hard
6801,3.36366,3.42775,-0.06409,-0.03663,-0.16850,0,1,hard
6806,3.36366,3.42737,-0.06371,-0.10989,-0.19780,0,1,hard
6811,3.36366,3.42622,-0.06256,-0.19780,-0.18315,0,1,hard
6816,3.36366,3.42508,-0.06142,-0.27106,-0.15385,0,1,hard
6821,3.36366,3.42432,-0.06066,-0.08059,-0.15873,0,1,hard
6826,3.36366,3.42432,-0.06066,-0.02198,-0.19780,0,1,hard
6831,3.36366,3.42432,-0.06066,-0.08059,-0.22222,0,1,hard
6836,3.36366,3.42355,-0.05989,-0.12454,-0.21734,0,1,hard
6841,3.36366,3.42279,-0.05913,-0.18315,-0.18803,0,1,hard
6846,3.36366,3.42126,-0.05760,-0.25641,-0.15385,0,1,hard
6851,3.36366,3.42088,-0.05722,-0.09524,-0.14896,0,1,hard
6856,3.36366,3.42088,-0.05722,-0.02198,-0.18803,0,1,hard
6861,3.36366,3.42088,-0.05722,-0.03663,-0.21734,0,1,hard
6866,3.36366,3.42050,-0.05684,-0.08059,-0.22711,0,1,hard
6871,3.36366,3.42012,-0.05646,-0.08059,-0.22222,0,1,hard
6877,3.36366,3.41936,-0.05570,-0.10989,-0.21245,0,1,hard
6882,3.36366,3.41859,-0.05493,-0.18315,-0.18315,0,1,hard
6887,3.36366,3.41745,-0.05379,-0.19780,-0.14896,0,1,hard
6892,3.36366,3.41745,-0.05379,-0.03663,-0.16850,0,1,hard
6897,3.36366,3.41745,-0.05379,-0.02198,-0.20269,0,1,hard
6902,3.36366,3.41745,-0.05379,-0.05128,-0.22711,0,1,hard
6907,3.36366,3.41707,-0.05341,-0.03663,-0.22711,0,1,hard
6912,3.36366,3.41707,-0.05341,-0.03663,-0.23199,0,1,hard
6917,3.36366,3.41707,-0.05341,-0.03663,-0.24176,0,1,hard
6922,3.36366,3.41669,-0.05303,-0.03663,-0.23687,0,1,hard
6927,3.36366,3.41630,-0.05264,-0.06593,-0.23199,0,1,hard
6932,3.36366,3.41630,-0.05264,-0.06593,-0.22222,0,1,hard
